sampleID	run	forwardReads	reverseReads
s0001	2020_12_01	data/raw/fetch-reads/fastq/ERX5782836_ERR6146012_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782836_ERR6146012_2.fastq.gz
s0002	2020_12_01	data/raw/fetch-reads/fastq/ERX5782837_ERR6146013_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782837_ERR6146013_2.fastq.gz
s0003	2020_12_01	data/raw/fetch-reads/fastq/ERX5782838_ERR6146014_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782838_ERR6146014_2.fastq.gz
s0004	2020_11_27	data/raw/fetch-reads/fastq/ERX5782839_ERR6146015_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782839_ERR6146015_2.fastq.gz
s0006	2020_12_01	data/raw/fetch-reads/fastq/ERX5782840_ERR6146016_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782840_ERR6146016_2.fastq.gz
s0007	2020_12_01	data/raw/fetch-reads/fastq/ERX5782841_ERR6146017_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782841_ERR6146017_2.fastq.gz
s0008	2020_12_01	data/raw/fetch-reads/fastq/ERX5782842_ERR6146018_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782842_ERR6146018_2.fastq.gz
s0009	2020_12_01	data/raw/fetch-reads/fastq/ERX5782843_ERR6146019_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782843_ERR6146019_2.fastq.gz
s0011	2020_12_01	data/raw/fetch-reads/fastq/ERX5782844_ERR6146020_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782844_ERR6146020_2.fastq.gz
s0012	2020_12_01	data/raw/fetch-reads/fastq/ERX5782845_ERR6146021_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782845_ERR6146021_2.fastq.gz
s0013	2020_12_01	data/raw/fetch-reads/fastq/ERX5782846_ERR6146022_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782846_ERR6146022_2.fastq.gz
s0014	2020_12_01	data/raw/fetch-reads/fastq/ERX5782847_ERR6146023_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782847_ERR6146023_2.fastq.gz
s0015	2020_12_01	data/raw/fetch-reads/fastq/ERX5782848_ERR6146024_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782848_ERR6146024_2.fastq.gz
s0016	2020_12_01	data/raw/fetch-reads/fastq/ERX5782849_ERR6146025_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782849_ERR6146025_2.fastq.gz
s0017	2020_12_01	data/raw/fetch-reads/fastq/ERX5782850_ERR6146026_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782850_ERR6146026_2.fastq.gz
s0018	2020_12_01	data/raw/fetch-reads/fastq/ERX5782851_ERR6146027_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782851_ERR6146027_2.fastq.gz
s0019	2020_12_01	data/raw/fetch-reads/fastq/ERX5782852_ERR6146028_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782852_ERR6146028_2.fastq.gz
s0020	2020_12_01	data/raw/fetch-reads/fastq/ERX5782853_ERR6146029_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782853_ERR6146029_2.fastq.gz
s0021	2022_02_17	data/raw/fetch-reads/fastq/ERX11774106_ERR12398043_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774106_ERR12398043_2.fastq.gz
s0022	2020_12_01	data/raw/fetch-reads/fastq/ERX5782855_ERR6146031_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782855_ERR6146031_2.fastq.gz
s0023	2020_12_01	data/raw/fetch-reads/fastq/ERX5782856_ERR6146032_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782856_ERR6146032_2.fastq.gz
s0024	2020_12_01	data/raw/fetch-reads/fastq/ERX5782857_ERR6146033_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782857_ERR6146033_2.fastq.gz
s0025	2020_12_01	data/raw/fetch-reads/fastq/ERX5782858_ERR6146034_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782858_ERR6146034_2.fastq.gz
s0026	2020_12_01	data/raw/fetch-reads/fastq/ERX5782859_ERR6146035_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782859_ERR6146035_2.fastq.gz
s0027	2022_02_17	data/raw/fetch-reads/fastq/ERX11774107_ERR12398044_1.fastq.gz	data/raw/fetch-reads/fastq/ERX11774107_ERR12398044_2.fastq.gz
s0028	2020_12_01	data/raw/fetch-reads/fastq/ERX5782861_ERR6146037_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782861_ERR6146037_2.fastq.gz
s0029	2020_11_27	data/raw/fetch-reads/fastq/ERX5782862_ERR6146038_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782862_ERR6146038_2.fastq.gz
s0030	2020_11_27	data/raw/fetch-reads/fastq/ERX5782863_ERR6146039_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782863_ERR6146039_2.fastq.gz
s0031	2020_11_27	data/raw/fetch-reads/fastq/ERX5782864_ERR6146040_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782864_ERR6146040_2.fastq.gz
s0032	2020_11_27	data/raw/fetch-reads/fastq/ERX5782865_ERR6146041_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782865_ERR6146041_2.fastq.gz
s0033	2020_11_27	data/raw/fetch-reads/fastq/ERX5782866_ERR6146042_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782866_ERR6146042_2.fastq.gz
s0034	2020_11_27	data/raw/fetch-reads/fastq/ERX5782867_ERR6146043_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782867_ERR6146043_2.fastq.gz
s0035	2020_11_27	data/raw/fetch-reads/fastq/ERX5782868_ERR6146044_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782868_ERR6146044_2.fastq.gz
s0036	2020_11_27	data/raw/fetch-reads/fastq/ERX5782869_ERR6146045_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782869_ERR6146045_2.fastq.gz
s0037	2020_11_27	data/raw/fetch-reads/fastq/ERX5782870_ERR6146046_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782870_ERR6146046_2.fastq.gz
s0038	2020_11_27	data/raw/fetch-reads/fastq/ERX5782871_ERR6146047_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782871_ERR6146047_2.fastq.gz
s0039	2020_11_27	data/raw/fetch-reads/fastq/ERX5782872_ERR6146048_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782872_ERR6146048_2.fastq.gz
s0041	2020_12_01	data/raw/fetch-reads/fastq/ERX5782873_ERR6146049_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782873_ERR6146049_2.fastq.gz
s0042	2020_12_01	data/raw/fetch-reads/fastq/ERX5782874_ERR6146050_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782874_ERR6146050_2.fastq.gz
s0043	2020_12_01	data/raw/fetch-reads/fastq/ERX5782875_ERR6146051_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782875_ERR6146051_2.fastq.gz
s0044	2020_12_01	data/raw/fetch-reads/fastq/ERX5782876_ERR6146052_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782876_ERR6146052_2.fastq.gz
s0045	2020_12_01	data/raw/fetch-reads/fastq/ERX5782877_ERR6146053_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782877_ERR6146053_2.fastq.gz
s0046	2020_12_01	data/raw/fetch-reads/fastq/ERX5782878_ERR6146054_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782878_ERR6146054_2.fastq.gz
s0048	2020_12_01	data/raw/fetch-reads/fastq/ERX5782879_ERR6146055_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782879_ERR6146055_2.fastq.gz
s0049	2020_12_01	data/raw/fetch-reads/fastq/ERX5782880_ERR6146056_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782880_ERR6146056_2.fastq.gz
s0051	2020_12_01	data/raw/fetch-reads/fastq/ERX5782881_ERR6146057_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782881_ERR6146057_2.fastq.gz
s0052	2020_12_01	data/raw/fetch-reads/fastq/ERX5782882_ERR6146058_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782882_ERR6146058_2.fastq.gz
s0053	2020_12_01	data/raw/fetch-reads/fastq/ERX5782883_ERR6146059_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782883_ERR6146059_2.fastq.gz
s0054	2020_12_01	data/raw/fetch-reads/fastq/ERX5782884_ERR6146060_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782884_ERR6146060_2.fastq.gz
s0055	2020_12_01	data/raw/fetch-reads/fastq/ERX5782885_ERR6146061_1.fastq.gz	data/raw/fetch-reads/fastq/ERX5782885_ERR6146061_2.fastq.gz
